Название,ID,Тип_алкоголя,Категория,Изображение,Бокал,Ингредиент1,Ингредиент2,Ингредиент3,Ингредиент4,Ингредиент5,Инструкция,Мера1,Мера2
Artillery Punch,12870,Алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/9a4vqb1493067692.jpg,Пунш-боул,Tea,Rye whiskey,Red wine,Rum,Brandy,"Смешайте все ингредиенты в большой миске с блоком льда. При найдении слишком сухого, сахарный сироп может быть добавлен. Украсьте поворотами лимонной кожуры.",1 кварта black ,1 кварта 
Atlantic Sun,13423,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/doyxqb1493067556.jpg,Collins Glass,Vodka,Southern Comfort,Passion fruit syrup,Sweet and sour,Club soda,"Встряхните все ингредиенты, заполните напиток содовой. Украсить с кусочком апельсина.",2 сантилитр Smirnoff ,2 сантилитр 
Atomic Lokade,13086,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/n3zfrh1493067412.jpg,Collins Glass,Lemonade,Vodka,Blue Curacao,Triple sec,Sugar,"В шейкере поместите лимонад, водку, синий Кюракао и тройной секунды вместе. Встряхните со льдом и напрягайтесь в стекло. Добавить сахар по вкусу",5 унция ,1 унция 
Auburn Headbanger,17020,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/vw7iv91493067320.jpg,Шот,Jägermeister,Goldschlager,0,0,0,Смешайте в распределенном стекле над льдом. Процедить и залить в выстрел. Сядь перед выстрелом. НАСЛАЖДАТЬСЯ!!,1 унция ,1 унция 
Autodafé,12756,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,Хайбол,Vodka,Lime juice,Soda water,0,0,Смешайте и наполните содовой водой. Пьяный от финнов в солнечный день в любое время года и дня.,4 сантилитр ,1 дэш 
Avalanche,16419,Алкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/uppqty1472720165.jpg,Хайбол,Crown Royal,Kahlua,Cream,0,0,"Смешайте в бокале с высоким мячом на льду, хорошо встряхните.",1 шот ,1 шот 
Avalon,15266,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,Хайбол,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,"Наполните высокий стакан льдом. Слои водки Финляндии, лимонные и яблочные соки, Пизанг Амбон и наполните лимонад. Немного перемешайте и украсьте спиральной кожей огурца и красной вишней. Огурец обеспечивает интерес и выглядит привлекательно. Этот напиток, созданный Тимо Хами, получил первый приз в соревнованиях по длинным напиткам в Финляндии 1991 года.",3 parts,1 часть 
Aviation,17180,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg,Коктейльный бокал,Gin,lemon juice,maraschino liqueur,0,0,"Добавьте все ингредиенты в коктейльный шейкер, наполненный льдом. Хорошо встряхните и напрягайтесь в коктейльный стакан. Украсить вишней.",4.5 сантилитр,1.5 сантилитр
Aztec Punch,14364,Алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/uqwuyp1454514591.jpg,Пунш-боул,Lemonade,Vodka,Rum,Ginger ale,0,"Смешайте все ингредиенты в кувшине. Тщательно перемешайте и налейте во все, что доступно, чем больше, тем лучше! Этот напиток наносит большой удар, так что не делайте этого.",1 банка ,5 унция 
B-52,15853,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,Шот,Bailey's irish cream,Grand Marnier,Kahlua,0,0,Слои ингредиентов в выстрел. Подавать с мешалкой.,1/3 ,1/3 
B-53,13332,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,Collins Glass,Kahlua,Sambuca,Grand Marnier,0,0,"Слои Кахлуа, Самбукка и Гранд Марнье в этот удар в этом порядке. Лучше, чем B-52",1/3 шот ,1/3 шот 
Baby Eskimo,15511,Алкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg,Collins Glass,Kahlua,Milk,Vanilla ice-cream,0,0,"Оставьте мороженое около 10 минут. Добавьте ингредиенты в порядке, перемешайте с помощью палочки (нож или ложка, нож или ложка также работают). Потреблять немедленно и часто. Хороший и легкий, отлично подходит для сильного напитка.",2 унция ,8 унция 
Baby Guinness,17079,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/rvyvxs1473482359.jpg,Шот,Kahlua,Bailey's irish cream,0,0,0,"Налейте кальюа, почти наполняя выстрел. Затем, осторожно залейте Baileys, используя стену из выстрела. Это даст «Гиннесс» свою «голову».",2 1/2 унция ,1/2 унция 
Bacardi Cocktail,17183,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/n433t21504348259.jpg,Коктейльный бокал,Light rum,Lime juice,Sugar syrup,Grenadine,0,Встряхнуть вместе со льдом. Процедить в стекло и подавать.,1 3/4 унция Bacardi ,1 унция 
Bailey's Dream Shake,14510,Алкогольный,Безалкогольный,http://www.thecocktaildb.com/images/media/drink/qxrvqw1472718959.jpg,Коллинз,Bailey's irish cream,Vanilla ice-cream,Cream,0,0,Смешайте ингредиенты в течение 30 секунд. Определенно освежает жаркий летний день!,2 унция ,2 scoops 
Balmoral,11060,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,Коктейльный бокал,Scotch,Sweet Vermouth,Dry Vermouth,Bitters,0,"В смешанном стекле, наполовину заполненном кубиками льда, объедините все ингредиенты. Хорошо перемешать. Процедить в коктейльный стакан.",1 1/2 унция ,1/2 унция 
Banana Cantaloupe Smoothie,12708,Безалкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/uqxqsy1468876703.jpg,Highball Glass,Cantaloupe,Banana,0,0,0,"Juice Cantaloupe, вылейте сок в блендер, добавьте банан и живите.",Juice of 1/2 ,1 
Banana Daiquiri,11064,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/k1xatq1504389300.jpg,Флюте,Light rum,Triple sec,Banana,Lime juice,Sugar,Вылейте все ингредиенты в шейкер с кубиками льда. Встряхнуть хорошо. Процедить в охлажденном коктейльном бокале.,1 1/2 унция ,1 столовая ложка 
Banana Milk Shake,12654,Безалкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/rtwwsx1472720307.jpg,Бокал для белого вина,Milk,Orange juice,Sugar syrup,Banana,0,"Смешайте очень хорошо, предпочтительно в домашнем миксере. Подавать в бокале для вина, украсить взбитыми сливками и кусочком банана.",10 сантилитр cold ,4 сантилитр 
Banana Strawberry Shake,12656,Безалкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/vqquwx1472720634.jpg,Highball Glass,Strawberries,Banana,Yoghurt,Milk,Honey,Смешайте все вместе в блендере до однородного состояния.,1/2 фунт frozen ,1 frozen 
Banana Strawberry Shake Daiquiri-type,12658,Безалкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/uvypss1472720581.jpg,Cocktail Glass,Strawberries,Banana,Apple juice,0,0,Смешайте все вместе в блендере до однородного состояния.,1/2 фунт frozen ,1 frozen 
Barracuda,17209,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,Margarita glass,Rum,Galliano,Pineapple Juice,Lime Juice,Prosecco,"Встряхните ингредиенты со льдом. Процедить в бокал, сверху с игристым вином.",4.5 сантилитр,1.5 сантилитр
Belgian Blue,14071,Алкогольный,Безалкогольный,http://www.thecocktaildb.com/images/media/drink/rttsxw1441245419.jpg,Хайбол,Vodka,Coconut liqueur,Blue Curacao,Sprite,0,Просто вылейте все ингредиенты в стакан и перемешайте ...,2 сантилитр ,1 сантилитр 
Bellini,17195,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,Флюте,Champagne,Peach schnapps,0,0,0,"Вылейте персиковую пюре в охлажденную флейту, добавьте сверкающее вино. Нежно перемешать.",6 унция ,1 унция 
Bellini Martini,16176,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/3h9wv51504389379.jpg,Коктейльный бокал,Ice,Vodka,Peach nectar,Peach schnapps,Lemon peel,"Добавьте кубики льда в шейкер.
Добавить водку.
Добавить Peach Schnapps.
Добавить персиковый нектар.
Встряхнуть
Процедить в стекло.
Добавить лимонный поворот.",8 cubes ,3 унция 
Bermuda Highball,11084,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/qrvtww1441206528.jpg,Хайбол,Brandy,Gin,Dry Vermouth,Carbonated water,Lemon peel,"Вылейте бренди, джин и сухую вермут в бокал с высоким мячом над кубиками льда. Наполните газированной водой и перемешайте. Добавьте поворот лимона и подайте. (Имбирный эль может быть заменен на газированную воду, если предпочтительнее.)",3/4 унция ,3/4 унция 
Berry Deadly,12876,Алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/xqutpr1461867477.jpg,Collins Glass,Everclear,Wine,Orange juice,Kool-Aid,0,Добавьте все ингредиенты в большую миску. Нежно перемешать. Подавать охлажденным.,2 пинта ,1 бутылка Boone Strawberry Hill 
Between The Sheets,17184,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/of1rj41504348346.jpg,Коктейльный бокал,Brandy,Light rum,Triple sec,Lemon juice,0,"Вылейте все ингредиенты в шейкер с кубиками льда, встряхните, напрягайтесь в охлажденный коктейльный стакан.",1 унция ,1 унция 
Bible Belt,16986,Алкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,Хайбол,Southern Comfort,Triple sec,Lime,Sour mix,0,Смешайте все ингредиенты и вылейте на лед.,2 унция ,1/2 унция 
Big Red,13222,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Шот,Irish cream,Goldschlager,0,0,0,Вылейте ингредиенты в выстрел в 1 унцию,1/2 унция ,1/2 унция 
Black & Tan,13282,Алкогольный,Пиво,http://www.thecocktaildb.com/images/media/drink/rwpswp1454511017.jpg,Пинта,Ale,Guinness stout,0,0,0,"Заполните пинту стекло наполовину полным басом. Затем медленно налейте генпин на ложке, пока стекло не заполнено. Если все сделано правильно, Guiness останется на вершине, а бас на дне, отсюда и название Black & Tan.",1 часть Bass pale ,1 часть 
Black Forest Shake,15951,Алкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/xxtxsu1472720505.jpg,Collins Glass,Ice,Chocolate syrup,Cherry brandy,Vodka,Milk,"В блендере положите кубики льда, шоколадный сироп, вишневый бренди, водку и молоко. Смешайте очень хорошо."," cubes
","
"
Black Russian,11102,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/2k5gbb1504367689.jpg,Олд-фэшн,Coffee liqueur,Vodka,0,0,0,"Налейте ингредиенты в старомодный стакан, наполненный кубиками льда. Нежно перемешать.",3/4 унция ,1 1/2 унция 
Black and Brown,16403,Алкогольный,Пиво,http://www.thecocktaildb.com/images/media/drink/wwuvxv1472668899.jpg,Пильзнер,Guinness stout,Root beer,0,0,0,"Осторожно, чтобы избежать взрывной головы: налейте пивное стекло, наполовину полное любимого рулевого стола и нанесите на себя Гиннесс.",1/2 ,1/2 
Blackthorn,11106,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/xvswvy1441209430.jpg,Коктейльный бокал,Sweet Vermouth,Sloe gin,Lemon peel,0,0,Размешайте джин -слоя и вермут со льдом и напрягайтесь в коктейль -стакане. Добавьте поворот лимонной кожуры и подайте.,1 унция ,1 1/2 унция 
Bleeding Surgeon,16295,Алкогольный,Безалкогольный,http://www.thecocktaildb.com/images/media/drink/usuvvr1472719118.jpg,Коллинз,Dark rum,Orange,Surge,Cranberry juice,0,"Залейте выстрел из рома над кусочком апельсина. Заполните оставшееся пространство в стеклянном полпути, полном всплеска или подобного напитка. Закончите стекло с клюквенным соком. Будьте осторожны, теплый всплеск может пениться над стеклом.",1 шот ,1 ломтик 
Blind Russian,14356,Алкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/wxuqvr1472720408.jpg,Коллинз,Bailey's irish cream,Godiva liqueur,Kahlua,Butterscotch schnapps,Milk,Заполните стекло льдом. Добавьте все лифты. Добавить молоко. встряхнуть,3/4 унция ,3/4 унция 
Bloody Maria,11112,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg,Олд-фэшн,Tequila,Tomato juice,Lemon juice,Tabasco sauce,Celery salt,Встряхните все ингредиенты (кроме лимона) с потрескавшимся льдом и напрягайтесь в старомодном стакане над кубиками льда. Добавьте кусок лимона и подайте.,1 унция ,2 унция 
Bloody Mary,11113,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/uyquuu1439906954.jpg,Олд-фэшн,Vodka,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,"Аккуратно помешивая, вылейте все ингредиенты в бокал. Гарнир.",1 1/2 унция ,3 унция 
Blue Lagoon,11117,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vak0e51504389504.jpg,Хайбол,Vodka,Blue Curacao,Lemonade,Cherry,0,"Вылейте водку и Курасао на лед в бокале с высоким мячом. Заполните лимонадом, вершись вишней и подайте.",1 унция ,1 унция 
Blue Margarita,11118,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/qtvvyq1439905913.jpg,Коктейльный бокал,Tequila,Blue Curacao,Lime juice,Salt,0,"Втирайте обод коктейльного бокала с соком лайма. Погрузить обод в грубой соль. Встряхните текилу, синий Curacao и сок лайма со льдом, напрягайтесь в стеклянном стекле и подайте.",1 1/2 унция ,1 унция 
Blue Mountain,11119,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vsxssp1441209853.jpg,Олд-фэшн,Añejo rum,Tia maria,Vodka,Orange juice,Lemon juice,"В шейкере, наполовину заполненном кубиками льда, объедините все ингредиенты. Встряхнуть хорошо. Процедить в старомодную стеклянную алома, наполненную кубиками льда.",1 1/2 унция ,1/2 унция 
Bluebird,11120,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vxypsq1441209971.jpg,Коктейльный бокал,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,"В смешанном стекле, наполовину заполненном измельченным льдом, комбинируйте джин, тройной SEC, Curacao и Bitters. Хорошо перемешать. Процедите в коктейльный стакан и украсьте лимонным поворотом и вишней.",1 1/2 унция ,1/2 унция 
Bob Marley,13395,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,Шот,Midori melon liqueur,Jägermeister,Goldschlager,0,0,Слой в стеклянном или пони стеклянном стекле на 2 унции,1/2 унция ,1/2 унция 
Bobby Burns Cocktail,11121,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg,Коктейльный бокал,Sweet Vermouth,Scotch,Benedictine,Lemon peel,0,Размешайте все ингредиенты (кроме лимонной кожуры) со льдом и напрягайтесь в коктейль -стакане. Добавьте поворот лимонной кожуры и подайте.,1 1/2 унция ,1 1/2 унция 
Boomerang,11124,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,Коктейльный бокал,Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,"В смешанном стекле, наполовину заполненном кубиками льда, комбинируйте джин, вермут, биттерс и ликер мараскино. Хорошо перемешать. Процедить в коктейльный стакан и украсить вишней.",2 унция ,1/2 унция 
Boozy Snickers Milkshake,17221,Алкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/861tzm1504784164.jpg,Мейсон джар,Vanilla Ice-Cream,Milk,Godiva liqueur,Whipped Cream,caramel sauce,"Поместите батончики Snickers в полиэтиленовый пакет и сверните на них с помощью скачки, пока не разбит. Добавить измельченные кусочки сникерс, мороженое, молоко, карамельный соус, шоколадный соус и шоколадный ликер к блендеру. Смешайте, пока коктейль не станет густой и пенистым. Вылейте в очки и верните шоколадным ликером и кремом.",3 cups ,1 чашка 
Bora Bora,12572,Безалкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,Хайбол,Pineapple juice,Passion fruit juice,Lemon juice,Grenadine,0,"Подготовьтесь к блендеру или шейкеру, подайте в бокале с высоким мячом на скалах. Украсить с 1 кусочком ананаса и одной вишней.",10 сантилитр ,6 сантилитр 
Boston Sidecar,11128,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg,Коктейльный бокал,Light rum,Brandy,Triple sec,Lime,0,"Встряхните все ингредиенты со льдом, напрягайтесь в коктейльный стакан и подайте.",3/4 унция ,3/4 унция 
Boston Sour,11129,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,Бокал для виски сауэр,Blended whiskey,Lemon,Powdered sugar,Egg white,Lemon,"Встряхните сок лимона, сахарную пудру, смешанный виски и яичный белок с потрескавшимся льдом и напрягайтесь в кислый стакан виски. Добавьте кусочек лимона, сверху с вишней и подавать.",2 унция ,Juice of 1/2 
Bourbon Sling,11146,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/3s36ql1504366260.jpg,Хайбол,Sugar,Water,Lemon juice,Bourbon,Lemon peel,"В шейкере, наполовину заполненном кубиками льда, объедините сахар, воду, лимонный сок и бурбон. Встряхнуть хорошо. Хорошо напрячься. Процедить в бокал с высоким мячом. Украсить с лимонным поворотом.",1 чайная ложка superfine ,2 чайная ложка 
Bourbon Sour,11147,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/dms3io1504366318.jpg,Бокал для виски сауэр,Bourbon,Lemon juice,Sugar,Orange,Maraschino cherry,"В шейкере, наполовину заполненном кубиками льда, объедините бурбон, лимонный сок и сахар. Встряхнуть хорошо. Процедите в кислый стакан виски, украсьте апельсиновым ломтиком и вишней.",2 унция ,1 унция 
Boxcar,11149,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Бокал для виски сауэр,Gin,Triple sec,Lemon juice,Grenadine,Egg white,"В шейкере, наполовину заполненном кубиками льда, объедините все ингредиенты. Встряхнуть хорошо. Процедить в кислый стакан.",1 1/2 унция ,1 унция 
Brain Fart,17120,Алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,Пунш-боул,Everclear,Vodka,Mountain Dew,Surge,Lemon juice,"Смешайте все ингредиенты вместе. Медленно и осторожно. Работает лучше всего, если лед добавляется в Punch Bowl, а сода очень холодно.",1 fifth ,1 fifth Smirnoff red label 
Brainteaser,13405,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/ruywtq1461866066.jpg,Shot Glass,Sambuca,Erin Cream,Advocaat,0,0,"Сначала многослойная Эрин, затем Самбука, а затем авокарт (должны сидеть в середине двух других. Чтобы выпить: используйте соломинку, чтобы сосать Avocart, затем застрелил остальных, а затем высасывает шары через соломинку.",30 миллилитр white ,30 миллилитр 
Bramble,17210,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,Old-Fashioned glass,Gin,lemon juice,Sugar syrup,Creme de Mure,0,"Заполните стекло измельченным льдом. Постройте джин, лимонный сок и простой сироп. Размешайте, а затем налейте ликера Blackberry круговым образом, чтобы создать эффект мраморства. Украсить с двумя ежевиками и лимонным ломтиком.",4 сантилитр,1.5 сантилитр
Brandon and Will's Coke Float,16447,Алкогольный,Безалкогольный,http://www.thecocktaildb.com/images/media/drink/xspxyr1472719185.jpg,Beer mug,Vanilla ice-cream,Coca-Cola,Bourbon,0,0,Выкопайте два больших макета ванильного мороженого в матовую пивную кружку. Далее добавьте 2 унции. Затем вылейте в колу. Аккуратно перемешайте и наслаждайтесь.,2 scoops ,1 банка 
Brandy Alexander,11016,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/tvqxvr1483387746.jpg,Коктейльный бокал,Brandy,Creme de Cacao,Light cream,Nutmeg,0,Встряхните все ингредиенты (кроме мускатного ореха) со льдом и напрягайте содержимое в коктейльный стакан. Посыпать мускатный орех сверху и подавать.,1 унция ,1 унция white 
Brandy Cobbler,11157,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vtvutr1439465836.jpg,Олд-фэшн,Sugar,Club soda,Lemon,Brandy,Maraschino cherry,"В старомодном бокале растворить сахар в клубной газировке. Добавьте измельченный лед, пока стакан не станет почти заполненным. Добавить бренди. Хорошо перемешать. Украсить вишней и оранжевыми и лимонными ломтиками.",1 чайная ложка superfine ,3 унция 
Brandy Flip,11164,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg,Бокал для виски сауэр,Brandy,Egg,Sugar,Light cream,Nutmeg,"В шейкере, наполовину заполненном кубиками льда, объедините бренди, яйцо, сахар и сливки. Встряхнуть хорошо. Процедить в кислый стакан и украсить мускатным орехом.",2 унция ,1 whole 
Brandy Sour,11170,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/tu0mts1504366540.jpg,Бокал для виски сауэр,Brandy,Lemon,Powdered sugar,Lemon,Cherry,"Встряхните бренди, сок лимона и сахарную пудру со льдом и напрягайтесь в кислый стакан виски. Украсьте лимонным ломтиком, сверху с вишней и подайте.",2 унция ,Juice of 1/2 
Brave Bull Shooter,13068,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg,Шот,Tequila,Tabasco sauce,0,0,0,Вылейте Табаско в нижнюю часть выстрела и наполните текилой.,1/2 унция ,1/2 унция 
Bruce's Puce,13066,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg,Шот,Grenadine,Kahlua,Bailey's irish cream,0,0,"В выстреле регулярного размера, слой, с ложкой или вишней, гренадином, кахлуа, затем ирландским кремом Бейли в равных частях. Это действительно гладко, и вам даже не нужен гомосексуал. На вкус он как шоколадное молоко. (Действительно!)","
","
"
Bruised Heart,16998,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg,Шот,Vodka,Chambord raspberry liqueur,Peachtree schnapps,Cranberry juice,0,"Вылейте все ингредиенты в смесительную олову на льду, перемешайте и напрягайтесь в выстрел",1/2 унция ,1/2 унция 
Bubble Gum,14730,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,Шот,Vodka,Banana liqueur,Orange juice,Peach schnapps,0,"Слой, чтобы в порядок в стекле.",1/4 ,1/4 
Buccaneer,17035,Алкогольный,Пиво,http://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,Пильзнер,Corona,Bacardi Limon,0,0,0,"Вылейте корону в пивное стекло на 18 унций, залейте лимон бакарди в пиво очень аккуратно перемешано",1 ,1 шот 
Bumble Bee #1,14538,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,Шот,Bailey's irish cream,Kahlua,Sambuca,0,0,"Это многослойный выстрел. Сначала залейте Бейли в бокал. Затем сделайте вверх ножной ложкой и коснитесь ее к внутренней стене стекла. Осторожно добавьте калуа. Повторите этот процесс для Sambuca. Если все сделано правильно, алкоголь останется разделенным и напоминает шмель пчел. Наслаждаться!!!",1/3 унция ,1/3 унция 
Butter Baby,17220,Алкогольный,Молочный/Шейк,http://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg,Beer mug,Vanilla Ice-Cream,Butterscotch schnapps,Milk,Vodka,0,Смешайте вместе в блендере. Подавать в охлажденной пивной кружке со свежей черникой и карамелью для топпинга.,2 scoops ,1 часть 
Cafe Savoy,14181,Алкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Кофейная кружка,Coffee,Milk,Triple sec,Brandy,0,"Заполните кружку почти до кофе. Добавить молоко, тройной секунды и бренди. Помешивать.","
",1/2 унция 
Caipirinha,11202,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/xyrppt1469090521.jpg,Олд-фэшн,Sugar,Lime,Cachaca,0,0,"Поместите известь и сахар в старомодный стакан и запутайте (объедините два ингредиента, используя грязь или деревянную ложку). Наполните стекло льдом и добавьте качасу.",2 чайная ложка,1 
Caipirissima,13206,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,Collins Glass,Lime,Sugar,White rum,Ice,0,"То же, что и Caipirinha, но вместо Cachaca вы добавляете белый ром. Это здорово!!!!!!!!",2 ,2 столовая ложка 
California Lemonade,11205,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/qvvxwy1472406424.jpg,Коллинз,Blended whiskey,Lemon,Lime,Powdered sugar,Grenadine,Встряхните все ингредиенты (кроме газированной воды) со льдом и напрягайтесь в стакан коллинза над бритым льдом. Наполните газированной водой и перемешайте. Украсить кусочками апельсина и лимона. Добавить вишню и подавать с соломой.,2 унция ,Juice of 1 
California Root Beer,14282,Алкогольный,Безалкогольный,http://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg,Хайбол,Kahlua,Galliano,Soda water,0,0,Поместите Кахлуа и Галлиано в стеклянную наполнение с газировкой,3/4 унция ,3/4 унция 
Campari Beer,16047,Алкогольный,Пиво,http://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,Beer mug,Lager,Campari,0,0,0,Используйте стекло на 15 унций. Сначала добавьте Кампари. Наполнить пивом.,1 бутылка ,1 1/2 сантилитр 
Caribbean Boilermaker,17065,Алкогольный,Пиво,http://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,Пильзнер,Corona,Light rum,0,0,0,Вылейте корону в пивное бокал на 18 унций. Залейте ром в пиво.,1 бутылка ,1 шот 
Caribbean Orange Liqueur,12796,Алкогольный,Домашний ликер,http://www.thecocktaildb.com/images/media/drink/qwxuwy1472667570.jpg,Collins Glass,Orange,Vodka,Sugar,0,0,"Очень тонко изюминку с ярко-красовыми кожурами из апельсинов (без белого). Отолкните кожуру на бумажных полотенцах, чтобы удалить лишнее масло. Положите кожуру в 4 стаканную банку для винтового вершины. Добавьте 2 чашки водки. Закрыть банку. Храните в прохладном, темном месте в течение 2 дней или до тех пор, пока водка не поглотит вкус. Удалите кожуру и добавьте оставшуюся водку. Закрыть банку и добавить оставшуюся чашку водки. Закройте банку и храните в прохладном темном месте не менее 1 месяца до возраста.",3 large ,3 cups 
Casino,17185,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,Коктейльный бокал,Gin,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,Вылейте все ингредиенты в шейкер с кубиками льда. Встряхнуть хорошо. Процедить в охлажденный коктейльный стакан. Украсить с лимонным поворотом и вишневой вишни Мараскино. Подавать без соломы.,2 унция ,1/4 чайная ложка 
Casino Royale,11224,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,Бокал для виски сауэр,Gin,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,"В шейкере, наполовину заполненном кубиками льда, объедините все ингредиенты. Встряхнуть хорошо. Процедить в кислый стакан.",2 унция ,1/2 унция 
